account_id,month,segment,utilization_pct,monthly_spend_usd,delinquent_30d
C000001,2025-08,Prime,15,1250,0
C000002,2025-08,Prime,25,1782,0
C000003,2025-08,Prime,53,1086,0
C000004,2025-08,Prime,22,2004,0
C000005,2025-08,Prime,48,1445,0
C000006,2025-08,Prime,41,2260,0
C000007,2025-08,Prime,37,1805,0
C000008,2025-08,Prime,24,1381,0
C000009,2025-08,Prime,2,2354,0
C000010,2025-08,Prime,46,2281,0
C000011,2025-08,Prime,8,2694,0
C000012,2025-08,Prime,32,1296,0
C000013,2025-08,Prime,24,1722,0
C000014,2025-08,Prime,18,608,0
C000015,2025-08,Prime,21,2922,0
C000016,2025-08,Prime,26,209,0
C000017,2025-08,Prime,16,1451,0
C000018,2025-08,Prime,35,1905,0
C000019,2025-08,Prime,48,1364,0
C000020,2025-08,Prime,16,1788,0
C000021,2025-08,Prime,30,2467,0
C000022,2025-08,Prime,31,2785,0
C000023,2025-08,Prime,24,148,0
C000024,2025-08,Prime,44,1336,0
C000025,2025-08,Prime,32,1351,0
C000026,2025-08,Prime,2,918,0
C000027,2025-08,Prime,18,1865,0
C000028,2025-08,Prime,42,2693,0
C000029,2025-08,Prime,8,1624,0
C000030,2025-08,Prime,21,1613,0
C000031,2025-08,Prime,33,1737,0
C000032,2025-08,Prime,28,1832,0
C000033,2025-08,Prime,21,1415,0
C000034,2025-08,Prime,17,590,0
C000035,2025-08,Prime,48,634,0
C000036,2025-08,Prime,23,1028,0
C000037,2025-08,Prime,49,1511,0
C000038,2025-08,Prime,6,981,0
C000039,2025-08,Prime,31,769,0
C000040,2025-08,Prime,22,470,0
C000041,2025-08,Prime,1,1727,0
C000042,2025-08,Prime,20,1259,0
C000043,2025-08,Prime,1,2032,0
C000044,2025-08,Prime,22,2650,0
C000045,2025-08,Prime,72,515,0
C000046,2025-08,Prime,22,2180,0
C000047,2025-08,Prime,33,2117,0
C000048,2025-08,Prime,18,1151,0
C000049,2025-08,Prime,42,0,0
C000050,2025-08,Prime,22,3254,0
C000051,2025-08,Prime,7,0,0
C000052,2025-08,Prime,45,472,0
C000053,2025-08,Prime,49,1559,0
C000054,2025-08,Prime,18,1945,0
C000055,2025-08,Prime,27,986,0
C000056,2025-08,Prime,17,1393,0
C000057,2025-08,Prime,41,1364,0
C000058,2025-08,Prime,4,2237,0
C000059,2025-08,Prime,31,1553,0
C000060,2025-08,Prime,47,1850,0
C000061,2025-08,Prime,6,1705,0
C000062,2025-08,Prime,36,3281,0
C000063,2025-08,Prime,1,1835,0
C000064,2025-08,Prime,35,1922,0
C000065,2025-08,Prime,77,1359,0
C000066,2025-08,Prime,34,2422,0
C000067,2025-08,Prime,31,1450,0
C000068,2025-08,Prime,31,1424,0
C000069,2025-08,Prime,42,1157,0
C000070,2025-08,Prime,39,329,0
C000071,2025-08,Prime,15,785,0
C000072,2025-08,Prime,22,2127,0
C000073,2025-08,Prime,2,842,0
C000074,2025-08,Prime,6,2613,0
C000075,2025-08,Prime,9,363,0
C000076,2025-08,Prime,30,906,0
C000077,2025-08,Prime,55,667,0
C000078,2025-08,Prime,28,756,0
C000079,2025-08,Prime,10,1974,0
C000080,2025-08,Prime,26,575,0
C000081,2025-08,Prime,26,1791,0
C000082,2025-08,Prime,19,360,0
C000083,2025-08,Prime,58,2252,0
C000084,2025-08,Prime,37,960,0
C000085,2025-08,Prime,13,2090,0
C000086,2025-08,Prime,27,1311,0
C000087,2025-08,Prime,9,1629,0
C000088,2025-08,Prime,20,1475,0
C000089,2025-08,Prime,43,1398,0
C000090,2025-08,Prime,1,2289,1
C000091,2025-08,Prime,39,1469,0
C000092,2025-08,Prime,24,1780,0
C000093,2025-08,Prime,37,1358,0
C000094,2025-08,Prime,19,1611,0
C000095,2025-08,Prime,19,1832,0
C000096,2025-08,Prime,28,1771,0
C000097,2025-08,Prime,44,2103,0
C000098,2025-08,Prime,27,0,0
C000099,2025-08,Prime,20,309,0
C000100,2025-08,Prime,21,1298,0
C000101,2025-08,Prime,46,973,0
C000102,2025-08,Prime,36,2445,0
C000103,2025-08,Prime,1,742,0
C000104,2025-08,Prime,17,1118,0
C000105,2025-08,Prime,33,2103,0
C000106,2025-08,Prime,40,2480,0
C000107,2025-08,Prime,14,2387,0
C000108,2025-08,Prime,30,658,0
C000109,2025-08,Prime,12,1716,0
C000110,2025-08,Prime,41,2424,0
C000111,2025-08,Prime,54,661,0
C000112,2025-08,Prime,9,1827,0
C000113,2025-08,Prime,19,1729,0
C000114,2025-08,Prime,42,1411,0
C000115,2025-08,Prime,50,2104,0
C000116,2025-08,Prime,1,26,1
