order_id,order_date,category,revenue_usd,returned,ship_days
O001050,2025-08-06,Home,90.23,0,4
O005134,2025-11-26,Electronics,297.63,0,4
O007967,2026-01-08,Apparel,119.99,0,3
O017289,2026-07-26,Apparel,61.09,0,3
O005387,2025-11-02,Home,61.0,0,2
O009770,2026-02-21,Apparel,82.86,0,6
O005235,2025-11-28,Electronics,40.51,0,4
O018371,2026-07-25,Home,95.35,1,3
O003295,2025-10-12,Electronics,94.67,0,3
O010141,2026-02-05,Electronics,156.76,0,2
O012085,2026-03-29,Home,13.98,0,5
O002979,2025-10-14,Apparel,17.13,0,3
O015230,2026-05-26,Home,98.58,0,2
O009261,2026-02-13,Apparel,59.99,0,3
O014158,2026-05-18,Apparel,82.62,0,2
O017093,2026-07-08,Apparel,41.2,0,2
O005943,2025-12-03,Apparel,80.78,1,3
O000608,2025-08-29,Electronics,116.72,0,2
O010195,2026-02-02,Electronics,100.49,0,3
O003834,2025-10-26,Home,89.44,0,3
O009856,2026-02-04,Electronics,138.9,0,2
O012444,2026-04-15,Apparel,32.4,0,2
O001313,2025-08-19,Home,85.8,0,4
O007620,2025-12-26,Home,107.89,0,5
O016718,2026-06-06,Home,17.83,1,3
O009441,2026-02-21,Apparel,106.08,1,3
O010301,2026-02-16,Home,124.38,0,3
O004090,2025-10-22,Home,34.52,0,2
O008509,2026-01-18,Electronics,164.38,0,4
O010265,2026-02-08,Electronics,154.13,0,4
O009870,2026-02-07,Electronics,183.25,0,2
O004698,2025-11-06,Apparel,45.52,0,5
O017530,2026-07-06,Electronics,45.1,0,2
O015023,2026-05-05,Home,30.23,0,2
O016733,2026-06-17,Home,8,0,3
O012419,2026-04-03,Apparel,97.85,0,3
O015497,2026-06-29,Apparel,8.23,0,2
O003633,2025-10-17,Electronics,189.09,0,5
O007335,2025-12-07,Home,83.29,0,5
O000822,2025-08-28,Electronics,127.23,1,4
O005332,2025-11-03,Home,107.25,0,5
O010565,2026-02-18,Home,97.57,0,1
O001853,2025-09-13,Apparel,47.19,0,3
O003845,2025-10-17,Home,36.06,0,2
O003127,2025-10-11,Apparel,53.3,1,5
O017313,2026-07-04,Apparel,59.43,0,2
O002300,2025-09-13,Electronics,211.22,0,2
O018152,2026-07-15,Home,52.03,0,4
O000028,2025-08-01,Apparel,79.05,0,4
O011305,2026-03-13,Electronics,100.28,0,4
O003486,2025-10-29,Electronics,68.05,0,4
O008629,2026-01-26,Electronics,113.16,0,4
O013638,2026-04-06,Home,89.03,0,1
O012978,2026-04-27,Electronics,221.83,0,4
O007437,2025-12-26,Home,90.86,0,3
O015071,2026-05-08,Home,52.18,0,3
O001199,2025-08-11,Home,64.69,0,5
O000407,2025-08-17,Apparel,62.11,0,4
O014770,2026-05-26,Electronics,150.11,0,1
O012669,2026-04-15,Apparel,56.32,0,4
O016082,2026-06-13,Electronics,177.49,0,4
O017646,2026-07-06,Electronics,227.66,0,2
O014881,2026-05-08,Home,59.78,0,3
O012556,2026-04-04,Apparel,22.64,0,2
O006324,2025-12-24,Apparel,104.83,0,3
O013236,2026-04-01,Electronics,8,0,3
O016459,2026-06-20,Home,55.93,0,4
O005371,2025-11-10,Home,72.46,0,4
O008247,2026-01-26,Apparel,60.21,0,4
O002354,2025-09-10,Home,61.64,0,3
O013159,2026-04-09,Electronics,95.07,0,3
O017906,2026-07-15,Electronics,211.84,0,1
O018271,2026-07-19,Home,33.03,0,3
O017205,2026-07-01,Apparel,102.19,0,1
O008174,2026-01-30,Apparel,63.44,0,3
O007027,2025-12-19,Electronics,159.81,0,4
O009480,2026-02-16,Apparel,40.88,1,2
O012527,2026-04-21,Apparel,58.8,0,5
O002277,2025-09-30,Electronics,238.09,0,4
O016154,2026-06-14,Electronics,143.21,0,2
O000014,2025-08-01,Apparel,80.03,1,4
O000353,2025-08-29,Apparel,59.15,0,2
O002003,2025-09-15,Electronics,167.01,0,5
O006756,2025-12-16,Electronics,122.04,0,3
O005122,2025-11-27,Electronics,134.99,0,5
O017483,2026-07-13,Apparel,127.13,0,4
O007221,2025-12-03,Home,59.73,0,3
O011378,2026-03-19,Electronics,189.94,0,3
O005462,2025-11-30,Home,136.8,0,2
O012221,2026-04-17,Apparel,64.13,0,1
O009851,2026-02-27,Electronics,131.46,0,3
O014152,2026-05-01,Apparel,35.78,1,4
O011615,2026-03-28,Electronics,114.04,0,2
O002633,2025-09-22,Home,124.19,0,3
O000295,2025-08-30,Apparel,45.79,1,4
O003279,2025-10-25,Electronics,254.78,0,2
O010836,2026-03-21,Apparel,8,1,2
O014502,2026-05-30,Electronics,245.97,0,3
O006876,2025-12-06,Electronics,114.86,0,5
O009388,2026-02-22,Apparel,17.12,0,4
O013901,2026-05-13,Apparel,123.84,0,5
O009537,2026-02-28,Apparel,68.81,1,3
O016200,2026-06-12,Electronics,223.32,0,4
O005367,2025-11-01,Home,134.6,0,3
O013115,2026-04-18,Electronics,191.4,0,2
O014783,2026-05-01,Electronics,123.98,0,4
O001808,2025-09-16,Apparel,46.59,0,3
O013854,2026-05-31,Apparel,78.63,0,6
O009252,2026-02-03,Apparel,87.47,0,3
O001484,2025-09-30,Apparel,34.75,0,2
O012370,2026-04-06,Apparel,41.33,0,3
O000069,2025-08-27,Apparel,83.32,0,2
O009311,2026-02-24,Apparel,65.73,1,2
O010547,2026-02-21,Home,94.87,0,3
O013032,2026-04-22,Electronics,235.67,0,2
O005164,2025-11-26,Electronics,202.02,0,5
O016566,2026-06-19,Home,51.89,0,3
O015403,2026-06-04,Apparel,76.78,0,2
O015990,2026-06-24,Electronics,165.56,0,3
O013113,2026-04-19,Electronics,83.45,0,3
O005555,2025-11-07,Home,74.39,0,4
O011089,2026-03-17,Apparel,87.45,0,4
O012525,2026-04-15,Apparel,40.37,0,4
O010845,2026-03-01,Apparel,25.79,0,4
O004065,2025-10-06,Home,61.6,0,3
O003533,2025-10-20,Electronics,220.52,0,3
O006049,2025-12-11,Apparel,88.7,0,4
O003062,2025-10-01,Apparel,71.74,0,3
O016264,2026-06-14,Electronics,174.23,0,4
O013492,2026-04-23,Home,8,0,2
O006483,2025-12-04,Apparel,72.68,0,3
O005535,2025-11-22,Home,115.36,0,3
O003693,2025-10-02,Electronics,112.32,0,2
O008529,2026-01-31,Electronics,161.16,0,3
O002109,2025-09-17,Electronics,63.41,0,5
O003354,2025-10-20,Electronics,138.48,0,2
O003469,2025-10-01,Electronics,249.94,1,4
O015648,2026-06-09,Apparel,105.76,1,1
O001606,2025-09-26,Apparel,27.88,0,4
O018184,2026-07-13,Home,140.71,0,4
O012700,2026-04-22,Apparel,46.86,0,4
O005490,2025-11-30,Home,81.12,0,1
O010614,2026-02-18,Home,76.73,0,4
O003966,2025-10-06,Home,61.22,0,5
O012346,2026-04-13,Apparel,57.52,0,4
O007867,2026-01-20,Apparel,78.76,0,3
O018282,2026-07-20,Home,105.39,0,4
O003554,2025-10-19,Electronics,227.91,0,5
O012045,2026-03-02,Home,86.14,0,1
O014757,2026-05-06,Electronics,192.24,0,1
O009008,2026-01-29,Home,62.08,0,3
O004648,2025-11-03,Apparel,91.11,0,4
O012629,2026-04-27,Apparel,17.8,0,4
O008338,2026-01-24,Electronics,8,0,4
O018362,2026-07-20,Home,78.28,0,2
O001400,2025-09-07,Apparel,87.21,0,4
O002532,2025-09-19,Home,172.76,0,5
O004012,2025-10-13,Home,26.09,0,6
O007292,2025-12-13,Home,140.28,0,3
O017011,2026-07-22,Apparel,38.08,0,4
O008366,2026-01-11,Electronics,221.39,0,2
O011661,2026-03-11,Electronics,114.37,0,4
O014296,2026-05-27,Apparel,62.1,0,5
O001303,2025-08-05,Home,43.45,0,3
O015335,2026-06-11,Apparel,81.41,0,4
O013235,2026-04-19,Electronics,210.81,0,1
O017973,2026-07-30,Electronics,163.07,0,3
O003681,2025-10-17,Electronics,106.57,0,3
O014119,2026-05-24,Apparel,67.55,0,2
O017762,2026-07-20,Electronics,114.42,0,2
O011523,2026-03-03,Electronics,176.11,0,6
O015412,2026-06-18,Apparel,73.85,0,3
O016386,2026-06-07,Electronics,148.01,0,3
O007664,2025-12-01,Home,99.34,0,3
O009621,2026-02-01,Apparel,103.36,1,4
O004833,2025-11-19,Electronics,208.13,0,2
