claim_id,open_date,line,cycle_days,paid_amount_usd,subrogation_recovered
L003033,2026-02-25,Auto,35,4227,0
L004534,2026-05-10,Auto,25,5499,0
L002500,2026-01-07,Auto,39,4314,0
L000617,2025-09-19,Auto,37,4854,0
L001176,2025-10-11,Property,46,17310,0
L001307,2025-10-23,Liability,87,10784,0
L004461,2026-05-25,Auto,9,2674,1
L002506,2026-01-01,Auto,46,3409,0
L004911,2026-06-29,Auto,23,5457,0
L005168,2026-06-18,Property,14,13640,0
L000547,2025-09-04,Auto,15,3551,0
L003710,2026-03-20,Property,68,8629,0
L003369,2026-03-31,Auto,29,4675,0
L001340,2025-10-18,Liability,28,8025,0
L003991,2026-04-13,Auto,29,2446,0
L004034,2026-04-25,Auto,18,3557,0
L002420,2026-01-01,Auto,48,6110,0
L001336,2025-10-19,Liability,49,9767,1
L002730,2026-01-22,Property,53,10916,0
L003721,2026-03-17,Property,52,5632,0
L003606,2026-03-23,Property,94,6199,0
L000516,2025-09-02,Auto,35,300,0
L005302,2026-07-23,Auto,16,929,0
L000825,2025-09-15,Liability,58,15797,0
L003824,2026-03-01,Liability,78,21173,0
L003024,2026-02-15,Auto,26,6803,0
L002914,2026-02-06,Auto,48,9541,0
L002046,2025-12-05,Auto,53,2747,1
L001316,2025-10-21,Liability,71,7362,0
L003546,2026-03-27,Auto,42,4145,0
L000209,2025-08-23,Auto,41,6953,1
L002939,2026-02-25,Auto,26,3050,0
L004878,2026-06-11,Auto,27,2189,0
L000142,2025-08-19,Auto,15,4664,1
L005529,2026-07-19,Property,42,12866,0
L005402,2026-07-27,Auto,26,6528,0
L001113,2025-10-09,Auto,25,1890,0
L000703,2025-09-25,Property,56,1525,0
L003945,2026-04-04,Auto,18,6067,0
L004479,2026-05-02,Auto,29,3074,0
L002331,2025-12-01,Liability,34,300,0
L004068,2026-04-20,Property,51,15301,0
L004781,2026-05-08,Liability,52,3253,0
L001496,2025-11-12,Auto,5,854,0
L000413,2025-08-05,Liability,77,19233,0
L002260,2025-12-22,Property,45,13959,0
L001156,2025-10-26,Property,42,17124,0
L003502,2026-03-05,Auto,25,6983,0
L001766,2025-11-06,Liability,43,9824,0
L002561,2026-01-23,Auto,51,7600,1
L005454,2026-07-24,Auto,24,6764,0
L000434,2025-08-28,Liability,47,22871,1
L002722,2026-01-10,Property,13,300,0
L004446,2026-05-19,Auto,28,6883,0
L004754,2026-05-09,Liability,50,17815,0
L004110,2026-04-10,Property,68,10083,0
L004950,2026-06-18,Auto,15,3910,0
L000553,2025-09-19,Auto,56,4061,0
L003425,2026-03-07,Auto,27,4101,0
L005745,2026-07-19,Liability,49,7001,0
L001928,2025-12-03,Auto,27,5773,0
L002550,2026-01-31,Auto,43,2724,1
L004782,2026-05-26,Liability,40,3821,0
L002742,2026-01-24,Property,48,15768,0
L003419,2026-03-20,Auto,59,5537,0
L001059,2025-10-11,Auto,32,4415,0
L001691,2025-11-01,Property,70,5981,0
L001493,2025-11-29,Auto,37,2572,0
L002494,2026-01-11,Auto,42,3882,0
L003514,2026-03-21,Auto,39,4517,0
L002775,2026-01-14,Liability,65,7541,0
L001973,2025-12-27,Auto,24,3025,0
L002172,2025-12-06,Property,30,9405,0
L004726,2026-05-07,Liability,76,14452,0
L001769,2025-11-25,Liability,44,18528,0
L002033,2025-12-17,Auto,46,4724,0
L003987,2026-04-16,Auto,17,2164,0
L004061,2026-04-13,Property,27,6090,0
