account_id,month,plan,arpu_usd,support_tickets,churned
A000001,2025-08,Month-to-month,29.39,2,0
A000002,2025-08,Month-to-month,53.82,1,0
A000003,2025-08,Month-to-month,49.37,4,0
A000004,2025-08,Month-to-month,50.97,2,0
A000005,2025-08,Month-to-month,73.76,2,0
A000006,2025-08,Month-to-month,78.81,2,0
A000007,2025-08,Month-to-month,63.05,0,0
A000008,2025-08,Month-to-month,90.85,5,0
A000009,2025-08,Month-to-month,76.73,4,0
A000010,2025-08,Month-to-month,60.06,3,0
A000011,2025-08,Month-to-month,87.03,3,0
A000012,2025-08,Month-to-month,72.47,3,0
A000013,2025-08,Month-to-month,45.62,1,0
A000014,2025-08,Month-to-month,76.1,3,0
A000015,2025-08,Month-to-month,70.11,4,0
A000016,2025-08,Month-to-month,69.1,2,0
A000017,2025-08,Month-to-month,63.26,3,0
A000018,2025-08,Month-to-month,71.85,0,0
A000019,2025-08,Month-to-month,67.76,0,0
A000020,2025-08,Month-to-month,73.81,2,0
A000021,2025-08,Month-to-month,67.26,5,1
A000022,2025-08,Month-to-month,69.17,3,0
A000023,2025-08,Month-to-month,78.74,3,0
A000024,2025-08,Month-to-month,59.84,2,0
A000025,2025-08,Month-to-month,65.79,3,0
A000026,2025-08,Month-to-month,49.51,3,0
A000027,2025-08,Month-to-month,71.71,0,0
A000028,2025-08,Month-to-month,60.1,2,0
A000029,2025-08,Month-to-month,74.24,5,0
A000030,2025-08,Month-to-month,107.96,0,0
A000031,2025-08,Month-to-month,54.91,1,0
A000032,2025-08,Month-to-month,71.7,0,0
A000033,2025-08,Month-to-month,63.62,2,0
A000034,2025-08,Month-to-month,60.82,2,0
A000035,2025-08,Month-to-month,72.2,2,0
A000036,2025-08,Month-to-month,59.38,3,0
A000037,2025-08,Month-to-month,68.04,3,0
A000038,2025-08,Month-to-month,61.28,2,0
A000039,2025-08,Month-to-month,56.57,2,0
A000040,2025-08,Month-to-month,78.79,3,0
A000041,2025-08,Month-to-month,35.78,5,0
A000042,2025-08,Month-to-month,72.13,5,0
A000043,2025-08,Month-to-month,71.66,3,0
A000044,2025-08,Month-to-month,93.68,1,1
A000045,2025-08,Month-to-month,50.87,4,0
A000046,2025-08,Month-to-month,101.01,3,0
A000047,2025-08,Month-to-month,70.72,3,0
A000048,2025-08,Month-to-month,58.67,1,0
A000049,2025-08,Month-to-month,47.44,3,0
A000050,2025-08,Month-to-month,61.6,2,0
A000051,2025-08,Month-to-month,57.71,3,0
A000052,2025-08,Month-to-month,84.45,2,0
A000053,2025-08,Month-to-month,70.37,2,0
A000054,2025-08,Month-to-month,65.37,1,0
A000055,2025-08,Month-to-month,45.07,4,0
A000056,2025-08,Month-to-month,66.89,3,0
A000057,2025-08,Month-to-month,57.24,4,0
A000058,2025-08,Month-to-month,59.37,3,0
A000059,2025-08,Month-to-month,83.59,1,0
A000060,2025-08,Month-to-month,64.47,4,0
A000061,2025-08,Month-to-month,69.32,4,0
A000062,2025-08,Month-to-month,94.81,0,0
A000063,2025-08,Month-to-month,66.19,0,0
A000064,2025-08,Month-to-month,79.01,3,1
A000065,2025-08,Month-to-month,66.75,1,1
A000066,2025-08,Month-to-month,50.53,4,0
A000067,2025-08,Month-to-month,73.41,2,0
A000068,2025-08,Month-to-month,64.44,0,0
A000069,2025-08,Month-to-month,58.83,2,0
A000070,2025-08,Month-to-month,43.96,1,1
A000071,2025-08,Month-to-month,55.5,2,0
A000072,2025-08,Month-to-month,63.65,2,0
A000073,2025-08,Month-to-month,63.72,4,0
A000074,2025-08,Month-to-month,104.45,3,0
A000075,2025-08,Month-to-month,98.65,0,0
A000076,2025-08,Month-to-month,78.45,3,0
A000077,2025-08,Month-to-month,63.13,4,0
A000078,2025-08,Month-to-month,53.66,1,0
A000079,2025-08,Month-to-month,51.94,3,0
A000080,2025-08,Month-to-month,56.95,3,0
A000081,2025-08,Month-to-month,53.91,2,0
A000082,2025-08,Month-to-month,85.57,3,0
A000083,2025-08,Month-to-month,54.41,3,0
A000084,2025-08,Month-to-month,76.49,4,0
A000085,2025-08,Month-to-month,56.6,1,0
A000086,2025-08,Month-to-month,63.73,3,0
A000087,2025-08,Month-to-month,83.03,2,0
A000088,2025-08,Month-to-month,54.94,3,0
A000089,2025-08,Month-to-month,72.69,3,0
A000090,2025-08,Month-to-month,69.79,2,0
A000091,2025-08,Month-to-month,63.97,2,0
A000092,2025-08,Month-to-month,54.16,2,0
A000093,2025-08,Month-to-month,60.84,2,0
A000094,2025-08,Month-to-month,54.52,0,0
A000095,2025-08,Month-to-month,70.71,1,0
A000096,2025-08,Month-to-month,73.22,2,0
A000097,2025-08,Month-to-month,70.01,0,0
